,index,Lat,Lng,City,Country,Temp,Humidity,Date,Wind Speed,Cloudiness
167,214,-44.896104373929695,-164.1030244619843,avarua,ck,77,88,1527818400,4.7,75.0
168,234,56.4790110713557,29.453336629133588,pustoshka,ru,47.54,70,1527821978,2.93,0.0
170,47,47.07075213312953,-9.179372246245862,naron,es,55.4,87,1527820200,4.7,92.0
171,764,-26.457071648611347,44.132929651683895,beloha,mg,57.26,85,1527821978,3.94,0.0
172,101,40.946195790696436,-6.12582189176851,salamanca,es,46.64,91,1527821719,2.93,12.0
173,337,-10.156942852955012,145.38544861031107,port moresby,pg,80.75,91,1527821979,23.29,8.0
174,436,29.507031405045325,-103.99061307291323,ojinaga,mx,85.43,24,1527821979,4.16,44.0
175,178,26.989554071765056,-87.07991702307716,warrington,us,62.6,88,1527819600,5.82,75.0
176,461,-16.34255398757898,45.32137354882727,mahajanga,mg,69.8,88,1527818400,2.24,20.0
177,154,42.52534703804156,-35.660515221594125,ribeira grande,pt,68.15,96,1527821980,13.67,44.0
178,1408,46.04168232942675,-79.30553849563088,powassan,ca,69.8,83,1527818400,5.82,90.0
179,308,8.97599463353967,-36.262539020506864,itarema,br,78.5,87,1527821980,12.33,8.0
180,276,60.84975838964746,134.11601005315617,ust-maya,ru,60.95,44,1527821981,11.54,0.0
181,61,37.89456675923164,-12.845741092727252,cascais,pt,57.2,87,1527820200,2.24,20.0
182,1072,54.80850259169998,151.88994362758132,sobolevo,ru,42.68,82,1527821981,2.93,0.0
183,895,-3.350622548530552,-56.07592039112572,itaituba,br,77.87,79,1527821981,2.82,68.0
184,103,56.483348099593826,-139.38084030759163,sitka,us,77.96,65,1527821982,8.63,0.0
185,144,74.548284919667,-52.1555871410323,upernavik,gl,35.48,83,1527821982,6.85,76.0
186,138,-74.74205340467131,33.1884601870137,port elizabeth,za,73.4,94,1527821700,5.82,90.0
189,351,62.392408985096466,-149.26213327278805,palmer,us,60.8,50,1527818160,6.93,75.0
190,35,-57.832299939117796,-29.22761218234561,chuy,uy,60.23,98,1527821983,20.38,92.0
191,1429,58.85092836093173,143.5785103689543,okhotsk,ru,56,52,1527821983,6.62,80.0
192,1160,53.28452162514938,56.59602443418075,yumaguzino,ru,41.42,98,1527821984,2.59,68.0
193,48,52.73003243245145,-60.07926234454236,saint-augustin,ca,59,93,1527820200,3.36,90.0
194,1197,17.203574559734946,120.39746188293697,darapidap,ph,86.69,80,1527821984,3.6,12.0
195,1127,6.1658271535054325,-34.215509853461384,trairi,br,79.04,100,1527821984,20.83,92.0
196,778,-14.471466323102035,50.94005705173197,antalaha,mg,70.49,88,1527821985,8.75,20.0
197,1311,-27.421920418492306,33.59368896242469,nsoko,sz,54.74,83,1527821985,4.16,0.0
198,1473,19.383657583905375,-22.00383799733899,santa maria,cv,64.4,88,1527818400,4.7,75.0
199,40,20.430805441022244,164.6446966311966,butaritari,ki,83.09,100,1527821986,12.21,44.0
